list_nombreEstacion
Balmaceda Ad.
"C.M.A. Eduardo Frei Montalva, Antártica "
"Carlos Ibañez, Punta Arenas Ap."
"Carriel Sur, Concepción Ap."
"Cañal Bajo,  Osorno Ad."
"Chacalluta, Arica Ap."
Copiapó Universidad de Atacama
"Desierto de Atacama, Caldera  Ad."
Diego Aracena Iquique Ap.
El Colorado
"El Loa, Calama Ad."
El Paico
El Tepual  Puerto Montt Ap.
"Eulogio Sánchez, Tobalaba Ad."
Freirina Nicolasa
"Fuentes Martínez, Porvenir Ad."
Futaleufú Ad.
"General Bernardo O'Higgins, Chillán Ad."
"General Freire, Curicó Ad."
"Guardiamarina Zañartu, Pto Williams Ad."
Instituto de la Patagonia (Jorge Schytte)
"Juan Fernández, Estación Meteorológica."
La Araucanía Ad.
"La Florida, La Serena Ad."
Liceo Samuel Román Rojas (Combarbalá)
Lo Prado Cerro San Francisco
Los Libertadores
"Maquehue, Temuco Ad."
"María Dolores, Los Angeles Ad."
Mataveri  Isla de Pascua Ap.
Melinka Ad.
"Pichoy, Valdivia Ad."
Pudahuel Santiago 
Puerto Aysén Ad.
Putre
Quellón Ad.
"Quinta Normal, Santiago"
Rancagua
Retiro Copihue
"Rodelillo, Ad."
San Felipe Escuela Agrícola
San José  Guayacán
"Santo Domingo, Ad."
"Teniente Gallardo, Puerto Natales Ad."
"Teniente Vidal, Coyhaique Ad."
Termas de Chillán
Victoria (Reg.)
"Vicuña, Parque Los Pimientos"
Viña del Mar  Ad. (Torquemada)
